ID;Authors;Year;N_sample;Effect_size;Temp_media;Precipitacao;Temp_sazonal;Prec_sazonal;Range;Position;Transition;Historic_land;Topography;yi;vi;Clim_mac;;-4;4
1621;Schnier,_S.,_Cai,_X.,_Cao,_Y.;2016;98;0;9.099006661;918.0819672;1066.851288;33.83131972;84;47;Foragr;80;15.39221897;0;0.010526316;1.635127229;;;
209;Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.;2012;60;-0.55;15.80865958;1642.910891;778.6946786;51.64063848;87;43.5;Foragr;70;70.04967525;-0.618381314;0.01754386;-0.699148764;;;
209;Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.;2012;60;-0.49;15.80865958;1642.910891;778.6946786;51.64063848;87;43.5;Foragr;70;70.04967525;-0.536060337;0.01754386;-0.699148764;;;
523;Iñiguez-Armijos,_C.,_Leiva,_A.,_Frede,_H.-G.,_Hampel,_H.,_Breuer,_L.;2014;23;-0.3;18.92419561;1154.738636;30.57925993;54.17148581;88.9;49.05;Foragr;0;42.09372402;-0.309519604;0.05;-1.891140234;;;
117;Couceiro,_S.R.M.,_Hamada,_N.,_Luz,_S.L.B.,_Forsberg,_B.R.,_Pimentel,_T.P.;2007;65;-0.4;26.71560362;2286.576087;46.86610977;44.70929751;100;50;Forurb;0;66.53399223;-0.42364893;0.016129032;-4.258769113;;;
725;Lear,_G.,_Dopheide,_A.,_Ancion,_P.,_Lewis,_G.D.;2011;22;-0.67;14.34522965;1500.360465;324.0916297;19.02420683;100;50;Forurb;10;198.9998247;-0.810743125;0.052631579;-1.20201115;;;
862;Theodoropoulos,_C.,_Aspridis,_D.,_Iliopoulou-Georgudaki,_J.;2015;13;-0.49;13.95885104;788.0909091;646.8009749;59.93259853;100;50;Foragr;70;106.219368;-0.536060337;0.1;0.385438535;;;
48;Nessimian,_J.L.,_Venticinque,_E.M.,_Zuanon,_J.,_De_Marco_Jr.,_P.,_Gordo,_M.,_Fidelis,_L.,_D'arc_Batista,_J.,_Juen,_L.;2008;20;0;26.50550249;2401.235955;44.19617724;38.29807719;NA;NA;Foragr;0;43.70348197;0;0.058823529;-4.385490537;;;
48;Nessimian,_J.L.,_Venticinque,_E.M.,_Zuanon,_J.,_De_Marco_Jr.,_P.,_Gordo,_M.,_Fidelis,_L.,_D'arc_Batista,_J.,_Juen,_L.;2008;20;0;26.50550249;2401.235955;44.19617724;38.29807719;NA;NA;Foragr;0;43.70348197;0;0.058823529;-4.385490537;;;
1934;Peralta,_E.M.,_Batucan,_L.S.,_De_Jesus,_I.B.B.,_Triño,_E.M.C.,_Uehara,_Y.,_Ishida,_T.,_Kobayashi,_Y.,_Ko,_C.-Y.,_Iwata,_T.,_Borja,_A.S.,_Briones,_J.C.A.,_Papa,_R.D.S.,_Magbanua,_F.S.,_Okuda,_N.;2020;13;0.5616;26.34653464;2308.409639;105.3452065;75.55040746;NA;NA;Forurb;80;178.5973951;0.63516724;0.1;-4.165918556;;;
