ID	Authors	Year	Original_cover	N	Organism_1	Response_variable	Tax_func	Min_response	Max_response	Effect_func	Year_field_sample	Year_cover	Land_use_original	Land_use_class	Min_land_use	Max_land_use	Recorte_Espacial	Min_catch	Max_catch	Mean_catch	Analysis	Effect_size_metric	effect_size	P	Long	Lat	Ecoregion
209	Wang,_B.,_Liu,_D.,_Liu,_S.,_Zhang,_Y.,_Lu,_D.,_Wang,_L.	2012	Forest	60	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	2010	2007	Farmland	Agricultura	0	87	Subbacia	1	70	15	Correlação_de_Spearman	r	-0.49	<0.01	119.5590501	28.52189586	Jian_Nan_subtropical_evergreen_forests
862	Theodoropoulos,_C.,_Aspridis,_D.,_Iliopoulou-Georgudaki,_J.	2015	Forest	13	Macroinvertebrados	Riqueza	Taxonômica	0	9	-	2009	2006	Agriculture	Agricultura	0	100	Subbacia	-	-	-	Correlação_de_Spearman	r	-0.49	0.0007	21.73303725	38.44655887	Aegean_and_Western_Turkey_sclerophyllous_and_mixed_forests
2522	Silva-Araújo,_M.,_Silva-Junior,_E.F.,_Neres-Lima,_V.,_Feijó-Lima,_R.,_Tromboni,_F.,_Lourenço-Amorim,_C.,_Thomas,_S.A.,_Moulton,_T.P.,_Zandonà,_E.	2020	Forest	28	Macroinvertebrados	Riqueza_de_Famílias	Taxonômica	10	24	sim	Não_informa	Não_informa	Deforestation	Agricultura	-	-	Buffer_30m_ripário_(300_m_a_montante)	-	-	-	Correlação_de_Pearson_	r	-0.49	<0.01	-42.8203674	-22.55229711	 Serra_do_Mar_coastal_forests
2659	Scott,_C.G.,_McCord,_S.B.	2015	Forest	16	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	1999	1992	Cropland	Agricultura	0	39.3	Subbacia	70	241	-	Regressão_Linear_	R²	-0.48	<0.01	-90.92869622	38.76397962	Ozark_Highlands_mixed_forests
2295	Zhang,_Y.,_Jia,_X.,_Lin,_J.,_Qian,_C.,_Gao,_X.,_Ding,_S.	2019b	Forest	169	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2012	2007	Cropland	Agricultura	-	-	Subbacia	-	-	-	Regressão_múltipla	coef_b	-0.43	NA	124.6680799	41.56381324	Manchurian_mixed_forests
138	Stewart,_J.S.,_Wang,_L.,_Lyons,_J.,_Horwatich,_J.A.,_Bannerman,_R.	2001	Forest	38	Macroinvertebrados	Riqueza	Taxonômica	13	34	sim	1998	1998	Urban	Urbano	0.03	14.8	Buffer_30m_até_nascente	-	-	-	Correlação_de_Spearman	r	-0.42	NA	-88.05589812	43.71408922	Central_US_forest-grasslands_transition
1622	Kim,_D.-H.,_Chon,_T.-S.,_Kwak,_G.-S.,_Lee,_S.-B.,_Park,_Y.-S.	2016	Forest	46	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	2014	2009	Urban	Urbano	-	-	Buffer_100m_ripário_(1_km_a_montante)	-	-	-	Correlação_de_Spearman	r	-0.42	NA	129.0923368	35.34175714	Southern_Korea_evergreen_forests
29	Morley,_S.A.,_Karr,_J.R.	2002	Forest	34	Macroinvertebrados	Riqueza	Taxonômica	-	-	-	1998	1998	Urban	Urbano	-	-	Subbacia	-	-	-	Regressão_Linear_	R²	-0.41	NA	-122.0307045	47.64827066	Puget_lowland_forests
181	Walters,_D.M.,_Roy,_A.H.,_Leigh,_D.S.	2009	Forest	31	Macroinvertebrados	Riqueza	Taxonômica	-	-	sim	1999	1997	Urban	Urbano	-	-	Subbacia	11	126	-	Correlação_de_Pearson_	r	-0.4	<0.01	-84.47100086	34.13425319	Appalachian_Piedmont_forests
847	Collier,_K.J.,_Clements,_B.L.	2011	Forest	25	Macroinvertebrados	Riqueza_de_EPT	Taxonômica	-	-	-	Não_informa	Não_informa	Impervious	Urbano	6	64	Buffer_100m_até_nascente	-	-	-	Regressão_Logarítimica	R²	-0.4	NA	175.2552104	-37.77737181	Northland_temperate_kauri_forests
